"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
0,0,990.60000000000002,0,0,0,0.5
300,5,990.60000000000002,0,0,0,0.5
600,10,990.60000000000002,0,0,0,0.5
900,15,990.60000000000002,0,0,0,0.5
1200,20,990.60000000000002,0,0,0,0.5
1500,1,990.60000000000002,0,0,0,0.5
1800,6,990.60000000000002,0,0,0,0.5
2100,11,990.60000000000002,0,0,0,0.5
2400,16,990.60000000000002,0,0,0,0.5
2700,21,990.60000000000002,0,0,0,0.5
3000,2,990.60000000000002,0,0,0,0.5
3300,7,990.60000000000002,0,0,0,0.5
3600,12,990.60000000000002,0,0,0,0.5
3900,17,990.60000000000002,0,0,0,0.5
4200,22,990.60000000000002,0,0,0,0.5
4500,3,990.60000000000002,0,0,0,0.5
4800,8,990.60000000000002,0,0,0,0.5
5100,13,990.60000000000002,0,0,0,0.5
5400,18,990.60000000000002,0,0,0,0.5
5700,23,990.60000000000002,0,0,0,0.5
6000,4,990.60000000000002,0,0,0,0.5
6300,9,990.60000000000002,0,0,0,0.5
6600,14,990.60000000000002,0,0,0,0.5
6900,19,990.60000000000002,0,0,0,0.5
7200,0,990.60000000000002,0,0,0,0.5
7500,5,990.60000000000002,0,0,0,0.5
7800,10,990.60000000000002,0,0,0,0.5
8100,15,990.60000000000002,0,0,0,0.5
8400,20,990.60000000000002,0,0,0,0.5
8700,1,990.60000000000002,0,0,0,0.5
9000,6,990.60000000000002,0,0,0,0.5
9300,11,990.60000000000002,0,0,0,0.5
9600,16,990.60000000000002,0,0,0,0.5
9900,21,990.60000000000002,0,0,0,0.5
10200,2,990.60000000000002,0,0,0,0.5
10500,7,990.60000000000002,0,0,0,0.5
10800,12,990.60000000000002,0,0,0,0.5
11100,17,990.60000000000002,0,0,0,0.5
11400,22,990.60000000000002,0,0,0,0.5
11700,3,990.60000000000002,0,0,0,0.5
12000,8,990.60000000000002,0,0,0,0.5
12300,13,990.60000000000002,0,0,0,0.5
12600,18,990.60000000000002,0,0,0,0.5
12900,23,990.60000000000002,0,0,0,0.5
13200,4,990.60000000000002,0,0,0,0.5
13500,9,990.60000000000002,0,0,0,0.5
13800,14,990.60000000000002,0,0,0,0.5
14100,19,990.60000000000002,0,0,0,0.5
14400,0,990.60000000000002,0,0,0,0.5
14700,5,990.60000000000002,0,0,0,0.5
15000,10,990.60000000000002,0,0,0,0.5
15300,15,990.60000000000002,0,0,0,0.5
15600,20,990.60000000000002,0,0,0,0.5
15900,1,990.60000000000002,0,0,0,0.5
16200,6,990.60000000000002,0,0,0,0.5
16500,11,990.60000000000002,0,0,0,0.5
16800,16,990.60000000000002,0,0,0,0.5
17100,21,990.60000000000002,0,0,0,0.5
17400,2,990.60000000000002,0,0,0,0.5
17700,7,990.60000000000002,0,0,0,0.5
18000,12,990.60000000000002,0,0,0,0.5
18300,17,990.60000000000002,91.664535144066889,1,0.074027486145496368,0.5
18600,22,990.60533862788384,91.612826332632991,1,0.073985330760478973,0.50002188411761939
18900,3,990.60886723952251,88.306960993521841,1,0.071315303444862366,0.50004451042654141
19200,8,990.61220432348568,90.085787765254651,1,0.072751604020595551,0.50006634699123476
19500,13,990.61571016271057,93.088111849154046,1,0.075175963342189789,0.50008858093865483
19800,18,990.61935577949316,91.820627476506075,1,0.074152097105979919,0.50011154621960074
20100,23,990.62286838116154,91.106659218462141,1,0.073575258255004883,0.50013423353885089
20400,4,990.62636437485355,94.453671571921433,1,0.076277941465377808,0.50015673989463427
20700,9,990.63006935788871,90.628293966385797,1,0.073188409209251404,0.50018003934116717
21000,14,990.6334855626435,91.229214508356492,1,0.073673442006111145,0.50020245300791255
21300,19,990.63701215979972,92.80140709936461,1,0.074942812323570251,0.50022497856362291
21600,0,990.6406184612182,92.035107004122921,1,0.074323713779449463,0.50024788431868905
21900,5,990.64414913035853,92.846111552512241,1,0.074978381395339966,0.50027061999502687
22200,10,990.64774212361567,92.588372001604441,1,0.074769966304302216,0.50029354289305838
22500,15,990.65130410695542,90.90434157706666,1,0.073409758508205414,0.50031641085420175
22800,20,990.65477308325194,136.5635472872398,1,0.11028145253658295,0.5003388745830426
23100,1,990.66093432227046,335.37447229527493,1,0.27082887291908264,0.50037222448222352
23400,6,990.67777357859484,563.29394850015876,1,0.45487561821937561,0.50045341108593366
23700,11,990.7039665972793,844.28759907466633,1,0.68176788091659546,0.50059064161752331
24000,16,990.74202944730655,1207.5195688722349,1,0.97504252195358276,0.50079682082083898
24300,21,990.79570320955747,1538.8958369784802,1,1.2425534725189209,0.50109200793834785
24600,2,990.86150968191862,1837.3799850210335,1,1.4834606647491455,0.5014692631347204
24900,7,990.93815912247931,2224.2351480660482,1,1.7956600189208984,0.50192045883498293
25200,12,991.03144140861878,2639.6512042967674,1,2.1308314800262451,0.50246639637295221
25500,17,991.14127297079426,2848.4005155012765,1,2.2990875244140625,0.50311459201802677
