"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
0,0,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
300,5,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
600,10,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
900,15,1039.6277426839335,82199.999979999993,0,0,0.80058581555881658
1200,20,1039.6277426839335,82199.999979999993,0,0,0.80058581555881658
1500,1,1039.6277426839335,82199.999979999993,0,0,0.80058581555881658
1800,6,1039.6277426839335,80520.000039999999,0,0,0.80058581555881658
2100,11,1039.6277426839335,80520.000039999999,0,0,0.80058581555881658
2400,16,1039.6277426839335,80520.000039999999,0,0,0.80058581555881658
2700,21,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
3000,2,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
3300,7,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
3600,12,1039.6277426839335,80519.999979999993,0,0,0.80058581555881658
3900,17,1039.6277426839335,80519.999979999993,0,0,0.80058581555881658
4200,22,1039.6277426839335,80519.999979999993,0,0,0.80058581555881658
4500,3,1039.6277426839335,83880.000039999999,0,0,0.80058581555881658
4800,8,1039.6277426839335,83880.000039999999,0,0,0.80058581555881658
5100,13,1039.6277426839335,83880.000039999999,0,0,0.80058581555881658
5400,18,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
5700,23,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
6000,4,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
6300,9,1039.6277426839335,84719.999979999993,0,0,0.80058581555881658
6600,14,1039.6277426839335,84719.999979999993,0,0,0.80058581555881658
6900,19,1039.6277426839335,84719.999979999993,0,0,0.80058581555881658
7200,0,1039.6277426839335,82200.000039999999,0,0,0.80058581555881658
7500,5,1039.6277426839335,82200.000039999999,0,0,0.80058581555881658
7800,10,1039.6277426839335,82200.000039999999,0,0,0.80058581555881658
8100,15,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
8400,20,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
8700,1,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
9000,6,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
9300,11,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
9600,16,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
9900,21,1039.6277426839335,81360.000039999999,0,0,0.80058581555881658
10200,2,1039.6277426839335,81360.000039999999,0,0,0.80058581555881658
10500,7,1039.6277426839335,81360.000039999999,0,0,0.80058581555881658
10800,12,1039.6277426839335,84719.999979999993,0,0,0.80058581555881658
11100,17,1039.6277426839335,84719.999979999993,0,0,0.80058581555881658
11400,22,1039.6277426839335,84719.999979999993,0,0,0.80058581555881658
11700,3,1039.6277426839335,80519.999979999993,0,0,0.80058581555881658
12000,8,1039.6277426839335,80519.999979999993,0,0,0.80058581555881658
12300,13,1039.6277426839335,80519.999979999993,0,0,0.80058581555881658
12600,18,1039.6277426839335,84720.000039999999,0,0,0.80058581555881658
12900,23,1039.6277426839335,84720.000039999999,0,0,0.80058581555881658
13200,4,1039.6277426839335,84720.000039999999,0,0,0.80058581555881658
13500,9,1039.6277426839335,82199.999979999993,0,0,0.80058581555881658
13800,14,1039.6277426839335,82199.999979999993,0,0,0.80058581555881658
14100,19,1039.6277426839335,82199.999979999993,0,0,0.80058581555881658
14400,0,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
14700,5,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
15000,10,1039.6277426839335,83879.999979999993,0,0,0.80058581555881658
15300,15,1039.6277426839335,78840.000039999999,0,0,0.80058581555881658
15600,20,1039.6277426839335,78840.000039999999,0,0,0.80058581555881658
15900,1,1039.6277426839335,78840.000039999999,0,0,0.80058581555881658
16200,6,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
16500,11,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
16800,16,1039.6277426839335,81359.999979999993,0,0,0.80058581555881658
17100,21,1039.6277426839335,77999.999979999993,0,0,0.80058581555881658
17400,2,1039.6277426839335,77999.999979999993,0,0,0.80058581555881658
17700,7,1039.6277426839335,77999.999979999993,0,0,0.80058581555881658
18000,12,1039.6277426839335,85560.000039999999,0,0,0.80058581555881658
18300,17,1039.6277426839335,85560.000039999999,0,0,0.80058581555881658
18600,22,1039.6277426839335,85560.000039999999,0,0,0.80058581555881658
18900,3,1039.6277426839335,85559.999979999993,0,0,0.80058581555881658
19200,8,1039.6277426839335,85559.999979999993,0,0,0.80058581555881658
19500,13,1039.6277426839335,85559.999979999993,0,0,0.80058581555881658
19800,18,1039.6277426839335,56999.999980000001,0,0,0.80058581555881658
20100,23,1039.6277426839335,56999.999980000001,0,0,0.80058581555881658
20400,4,1039.6277426839335,56999.999980000001,0,0,0.80058581555881658
20700,9,1039.6277426839335,71280.000039999999,0,0,0.80058581555881658
21000,14,1039.6277426839335,71280.000039999999,0,0,0.80058581555881658
21300,19,1039.6277426839335,71280.000039999999,0,0,0.80058581555881658
21600,0,1039.6277426839335,102360,0,0,0.80058581555881658
21900,5,1039.6277426839335,102360,0,0,0.80058581555881658
22200,10,1039.6277426839335,102360,0,0,0.80058581555881658
22500,15,1039.6277426839335,127560,0,0,0.80058581555881658
22800,20,1039.6277426839335,127560,0,0,0.80058581555881658
23100,1,1039.6277426839335,127560,0,0,0.80058581555881658
23400,6,1039.6277426839335,146040,0,0,0.80058581555881658
23700,11,1039.6277426839335,146040,0,0,0.80058581555881658
24000,16,1039.6277426839335,146040,0,0,0.80058581555881658
24300,21,1039.6277426839335,150240,0,0,0.80058581555881658
24600,2,1039.6277426839335,150240,0,0,0.80058581555881658
24900,7,1039.6277426839335,150240,0,0,0.80058581555881658
25200,12,1039.6277426839335,159480,0,0,0.80058581555881658
25500,17,1039.6277426839335,159480,0,0,0.80058581555881658
25800,22,1039.6277426839335,159480,0,0,0.80058581555881658
26100,3,1039.6277426839335,151920,0,0,0.80058581555881658
26400,8,1039.6277426839335,151920,0,0,0.80058581555881658
26700,13,1039.6277426839335,151920,0,0,0.80058581555881658
27000,18,1039.6277426839335,134280,0,0,0.80058581555881658
27300,23,1039.6277426839335,134280,0,0,0.80058581555881658
27600,4,1039.6277426839335,134280,0,0,0.80058581555881658
27900,9,1039.6277426839335,158640,0,0,0.80058581555881658
28200,14,1039.6277426839335,158640,0,0,0.80058581555881658
28500,19,1039.6277426839335,158640,0,0,0.80058581555881658
28800,0,1039.6277426839335,161160,0,0,0.80058581555881658
29100,5,1039.6277426839335,161160,0,0,0.80058581555881658
29400,10,1039.6277426839335,161160,0,0,0.80058581555881658
29700,15,1039.6277426839335,159480,0,0,0.80058581555881658
30000,20,1039.6277426839335,159480,0,0,0.80058581555881658
30300,1,1039.6277426839335,159480,0,0,0.80058581555881658
30600,6,1039.6277426839335,161160,0,0,0.80058581555881658
30900,11,1039.6277426839335,161160,0,0,0.80058581555881658
31200,16,1039.6277426839335,161160,0,0,0.80058581555881658
31500,21,1039.6277426839335,160320,0,0,0.80058581555881658
