Range,Mean,Count,Start,End
100.0,50.0,0.5,0,1
100.0,50.0,0.5,1,2
100.0,50.0,0.5,2,3
100.0,50.0,0.5,3,4
6.956184335171216,96.5219078324144,1.0,5,6
100.0,50.0,0.5,4,7
100.0,50.0,0.5,7,8
100.0,50.0,0.5,8,9
100.0,50.0,0.5,9,10
100.0,50.0,0.5,10,11
100.0,50.0,0.5,11,12
100.0,50.0,0.5,12,13
100.0,50.0,0.5,13,14
100.0,50.0,0.5,14,15
100.0,50.0,0.5,15,16
100.0,50.0,0.5,16,17
100.0,50.0,0.5,17,18
100.0,50.0,0.5,18,19
100.0,50.0,0.5,19,20
100.0,50.0,0.5,20,21
100.0,50.0,0.5,21,22
100.0,50.0,0.5,22,23
100.0,50.0,0.5,23,24
100.0,50.0,0.5,24,25
100.0,50.0,0.5,25,26
1.1254421888835537,99.43727890555823,1.0,27,28
100.0,50.0,0.5,26,29
100.0,50.0,0.5,29,30
100.0,50.0,0.5,30,31
100.0,50.0,0.5,31,32
100.0,50.0,0.5,32,33
100.0,50.0,0.5,33,34
100.0,50.0,0.5,34,35
100.0,50.0,0.5,35,36
100.0,50.0,0.5,36,38
100.0,50.0,0.5,38,39
100.0,50.0,0.5,39,40
3.214987668859237,2.0624778639037293,1.0,42,43
100.0,50.0,0.5,40,41
100.0,50.0,0.5,41,44
100.0,50.0,0.5,44,46
100.0,50.0,0.5,46,47
100.0,50.0,0.5,47,48
100.0,50.0,0.5,48,49
100.0,50.0,0.5,49,50
49.951625596909246,24.975812798454623,0.5,50,51
