"Time","Gain1"
0,50
60,50
120,50
180,50
240,50
300,50
360,50
420,50
480,50
540,50
600,50
660,50
720,50
780,50
840,50
900,50
960,50
1020,50
1080,50
1140,50
1200,50
1260,50
1320,50
1380,50
1440,50
1500,50
1560,50
1620,50
1680,50
1740,50
1800,50
1860,50
1920,50
1980,50
2040,50
2100,50
2160,50
2220,50
2280,50
2340,50
2400,50
2460,50
2520,50
2580,50
2640,50
2700,50
2760,50
2820,50
2880,50
2940,50
3000,50
3060,50
3120,50
3180,50
3240,50
3300,50
3360,50
3420,50
3480,50
3540,50
3600,50
3660,50
3720,50
3780,50
3840,50
3900,50
3960,50
4020,50
4080,50
4140,50
4200,50
4260,50
4320,50
4380,50
4440,50
4500,50
4560,50
4620,50
4680,50
4740,50
4800,50
4860,50
4920,50
4980,50
5040,50
5100,50
5160,50
5220,50
5280,50
5340,50
5400,50
5460,50
5520,50
5580,50
5640,50
5700,50
5760,50
5820,50
5880,50
5940,50
6000,50
6060,50
6120,50
6180,50
6240,50
6300,50
6360,50
6420,50
6480,50
6540,50
6600,50
6660,50
6720,50
6780,50
6840,50
6900,50
6960,50
7020,50
7080,50
7140,50
7200,50
7260,50
7320,50
7380,50
7440,50
7500,50
7560,50
7620,50
7680,50
7740,50
7800,50
7860,50
7920,50
7980,50
8040,50
8100,50
8160,50
8220,50
8280,50
8340,50
8400,50
8460,50
8520,50
8580,50
8640,50
8700,50
8760,50
8820,50
8880,50
8940,50
9000,50
9060,50
9120,50
9180,50
9240,50
9300,50
9360,50
9420,50
9480,50
9540,50
9600,50
9660,50
9720,50
9780,50
9840,50
9900,50
9960,50
10020,50
10080,50
10140,50
10200,50
10260,50
10320,50
10380,50
10440,50
10500,50
10560,50
10620,50
10680,50
10740,50
10800,50
10860,50
10920,50
10980,50
11040,50
11100,50
11160,50
11220,50
11280,50
11340,50
11400,50
11460,50
11520,50
11580,50
11640,50
11700,50
11760,50
11820,50
11880,50
11940,50
12000,50
12060,50
12120,50
12180,50
12240,50
12300,50
12360,50
12420,50
12480,50
12540,50
12600,50
12660,50
12720,50
12780,50
12840,50
12900,50
12960,50
13020,50
13080,50
13140,50
13200,50
13260,50
13320,50
13380,50
13440,50
13500,50
13560,50
13620,50
13680,50
13740,50
13800,50
13860,50
13920,50
13980,50
14040,50
14100,50
14160,50
14220,50
14280,50
14340,50
14400,50
14460,50
14520,50
14580,50
14640,50
14700,50
14760,50
14820,50
14880,50
14940,50
15000,50
15060,50
15120,50
15180,50
15240,50
15300,50
15360,50
15420,50
15480,50
15540,50
15600,50
15660,50
15720,50
15780,50
15840,50
15900,50
15960,50
16020,50
16080,50
16140,50
16200,50
16260,50
16320,50
16380,50
16440,50
16500,50
16560,50
16620,50
16680,50
16740,50
16800,50
16860,50
16920,50
16980,50
17040,50
17100,50
17160,50
17220,50
17280,50
17340,50
17400,50
17460,50
17520,50
17580,50
17640,50
17700,50
17760,50
17820,50
17880,50
17940,50
18000,50
18060,50
18120,50
18180,50
18240,50
18300,50
18360,50.000377313434718
18420,50.000830088607032
18480,50.001282863323624
18540,50.001735637721268
18600,50.002188411761935
18660,50.00264097266335
18720,50.003093490645242
18780,50.003546008300539
18840,50.003998525636817
18900,50.004451042654139
18960,50.004889951758472
19020,50.005326139063008
19080,50.00576232605615
19140,50.006198512730329
19200,50.006634699123474
19260,50.007078207192002
19320,50.007523179338875
19380,50.007968151166736
19440,50.008413122675591
19500,50.008858093865484
19560,50.009315422872277
19620,50.009775223149276
19680,50.010235023099725
19740,50.010694822693203
19800,50.011154621960074
19860,50.011609203731297
19920,50.012062741748245
19980,50.012516279446181
20040,50.012969816825112
20100,50.013423353885088
20160,50.013873951843898
20220,50.014323961727271
20280,50.014773971291625
20340,50.01522398053703
20400,50.01567398946343
20460,50.016137774806069
20520,50.016604315138778
20580,50.017070855144944
20640,50.017537394794132
20700,50.01800393411672
20760,50.018454727374085
20820,50.018902371201165
20880,50.019350014716835
20940,50.019797657913543
21000,50.020245300791252
21060,50.020695416822711
21120,50.021146027191797
21180,50.021596637234289
21240,50.022047246957769
21300,50.022497856362293
21360,50.0229549367155
21420,50.023413311003239
21480,50.023871684971965
21540,50.024330058583708
21600,50.024788431868906
21660,50.025243650695927
21720,50.025698238376101
