python : import time: self [us] | cumulative | imported package
No linha:1 caractere:1
+ python -X importtime -c "import src.besx.entrypoints.dashboard.stream ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       156 |        156 | winreg
import time:       440 |        440 |   _io
import time:        85 |         85 |   marshal
import time:       381 |        381 |   nt
import time:      1170 |       2074 | _frozen_importlib_external
import time:       972 |        972 |   time
import time:       433 |       1405 | zipimport
import time:       118 |        118 |     _codecs
import time:      1042 |       1160 |   codecs
import time:      1378 |       1378 |   encodings.aliases
import time:      4843 |       7379 | encodings
import time:       772 |        772 | encodings.utf_8
import time:      1003 |       1003 | encodings.cp1252
import time:       117 |        117 | _signal
import time:        90 |         90 |     _abc
import time:       401 |        491 |   abc
import time:       373 |        864 | io
import time:       102 |        102 |       _stat
import time:       173 |        274 |     stat
import time:      1827 |       1827 |     _collections_abc
import time:       208 |        208 |       genericpath
import time:       238 |        238 |       _winapi
import time:       522 |        968 |     ntpath
import time:      1274 |       4340 |   os
import time:       226 |        226 |   _sitebuiltins
import time:       157 |        157 |   errno
import time:      1788 |       1788 |   encodings.utf_8_sig
import time:      4628 |       4628 |   _distutils_hack
import time:      1513 |       1513 |   types
import time:      1102 |       1102 |     importlib
import time:      1203 |       1203 |     importlib._abc
import time:       512 |       2817 |   importlib.util
import time:       243 |        243 |   importlib.machinery
import time:      1783 |       1783 |   sitecustomize
import time:       841 |        841 |   usercustomize
import time:     10956 |      29286 | site
import time:      1872 |       1872 | linecache
import time:       930 |        930 |         src
import time:      1348 |       2277 |       src.besx
import time:       952 |       3229 |     src.besx.entrypoints
import time:       993 |       4221 |   src.besx.entrypoints.dashboard
import time:      1007 |       1007 |       __future__
import time:       272 |        272 |                 itertools
import time:      1134 |       1134 |                 keyword
import time:       220 |        220 |                   _operator
import time:      1282 |       1501 |                 operator
import time:      1250 |       1250 |                 reprlib
import time:       193 |        193 |                 _collections
import time:      4325 |       8672 |               collections
import time:       279 |        279 |               _functools
import time:      2652 |      11602 |             functools
import time:      4178 |      15780 |           enum
import time:       203 |        203 |             _sre
import time:       912 |        912 |               re._constants
import time:      1377 |       2289 |             re._parser
import time:       949 |        949 |             re._casefix
import time:      1607 |       5045 |           re._compiler
import time:       819 |        819 |           copyreg
import time:      2139 |      23782 |         re
import time:      2468 |       2468 |           textwrap
import time:      1516 |       1516 |           warnings
import time:      2646 |       2646 |           contextlib
import time:      1398 |       1398 |           _colorize
import time:      2349 |      10374 |         traceback
import time:      1164 |       1164 |           _weakrefset
import time:      1533 |       2696 |         weakref
import time:       117 |        117 |           _string
import time:      1830 |       1947 |         string
import time:      2445 |       2445 |         threading
import time:       169 |        169 |         atexit
import time:      5137 |      46547 |       logging
import time:       182 |        182 |         _typing
import time:      7455 |       7636 |       typing
import time:      1471 |      56660 |     streamlit.logger
import time:      1365 |       1365 |       copy
import time:       238 |        238 |             _struct
import time:      1171 |       1408 |           struct
import time:       144 |        144 |           binascii
import time:      2093 |       3645 |         base64
import time:     11195 |      11195 |           _hashlib
import time:       198 |        198 |             _blake2
import time:      1489 |       1687 |           hashlib
import time:      1304 |      14185 |         hmac
import time:       231 |        231 |           math
import time:       127 |        127 |             _bisect
import time:      1157 |       1283 |           bisect
import time:        98 |         98 |           _random
import time:      1901 |       3513 |         random
import time:      1124 |      22464 |       secrets
import time:      3051 |       3051 |               _ast
import time:      3822 |       6872 |             ast
import time:       154 |        154 |                 _opcode
import time:      1144 |       1144 |                 _opcode_metadata
import time:      1446 |       2743 |               opcode
import time:      2646 |       5389 |             dis
import time:      1852 |       1852 |               token
import time:       171 |        171 |               _tokenize
import time:      2655 |       4677 |             tokenize
import time:      6241 |      23177 |           inspect
import time:      1295 |       1295 |           blinker._utilities
import time:      1780 |      26250 |         blinker.base
import time:      1261 |      27511 |       blinker
import time:       155 |        155 |               _locale
import time:      2443 |       2598 |             locale
import time:      1605 |       1605 |             signal
import time:       839 |        839 |             fcntl
import time:       267 |        267 |             msvcrt
import time:      2876 |       8183 |           subprocess
import time:      6386 |       6386 |               _wmi
import time:      3122 |       9507 |             platform
import time:     10724 |      10724 |               _socket
import time:      1973 |       1973 |                 select
import time:      2228 |       4201 |               selectors
import time:      3792 |      18716 |             socket
import time:     99795 |     128017 |           streamlit.env_util
import time:      2375 |       2375 |               dataclasses
import time:       755 |       3129 |             streamlit.util
import time:      3417 |       6546 |           streamlit.errors
import time:      1195 |     143940 |         streamlit.cli_util
import time:       231 |        231 |             _datetime
import time:       850 |       1081 |           datetime
import time:      1139 |       1139 |           streamlit.string_util
import time:      1299 |       3518 |         streamlit.config_option
import time:      1325 |     148782 |       streamlit.config_util
import time:       730 |        730 |       streamlit.development
import time:       347 |        347 |                   posix
import time:       323 |        323 |                   posix
import time:       280 |        949 |                 posixpath
import time:       601 |       1549 |               fnmatch
import time:      1158 |       2707 |             glob
import time:      1273 |       3980 |           pathlib._abc
import time:       386 |        386 |             pwd
import time:       472 |        472 |             grp
import time:      1300 |       2157 |           pathlib._local
import time:       766 |       6902 |         pathlib
import time:       719 |       7621 |       streamlit.file_util
import time:      3513 |     211983 |     streamlit.config
import time:      1681 |       1681 |     streamlit.deprecation_util
import time:       206 |        206 |               _json
import time:      1781 |       1987 |             json.scanner
import time:      2228 |       4214 |           json.decoder
import time:      1782 |       1782 |           json.encoder
import time:      1477 |       7472 |         json
import time:      1232 |       1232 |         email
import time:       305 |        305 |             zlib
import time:      1655 |       1655 |               _compression
import time:      3923 |       3923 |               _bz2
import time:      2108 |       7685 |             bz2
import time:      8956 |       8956 |               _lzma
import time:      1599 |      10554 |             lzma
import time:      3696 |      22239 |           shutil
import time:      1241 |       1241 |             zipfile._path.glob
import time:      2123 |       3364 |           zipfile._path
import time:     11536 |      37138 |         zipfile
import time:      3449 |       3449 |         importlib.metadata._meta
import time:      1657 |       1657 |         importlib.metadata._collections
import time:      1214 |       1214 |         importlib.metadata._functools
import time:      1068 |       1068 |         importlib.metadata._itertools
import time:      2193 |       2193 |               tempfile
import time:      2327 |       2327 |               importlib.resources.abc
import time:      2888 |       7406 |             importlib.resources._common
import time:      1536 |       1536 |             importlib.resources._functional
import time:      1423 |      10364 |           importlib.resources
import time:      1877 |      12241 |         importlib.abc
import time:      4136 |      69602 |       importlib.metadata
import time:      1180 |       1180 |           quopri
import time:      1077 |       1077 |               urllib
import time:      4641 |       4641 |               ipaddress
import time:      3142 |       8859 |             urllib.parse
import time:      1446 |       1446 |             email._parseaddr
import time:      3023 |      13328 |           email.utils
import time:      1581 |       1581 |           email.errors
import time:      1084 |       1084 |               email.quoprimime
import time:       812 |        812 |               email.base64mime
import time:       884 |        884 |                 email.encoders
import time:       981 |       1864 |               email.charset
import time:      1908 |       5667 |             email.header
import time:      1253 |       6919 |           email._policybase
import time:      1049 |       1049 |           email._encoded_words
import time:      1420 |       1420 |           email.iterators
import time:      3558 |      29032 |         email.message
import time:      1166 |       1166 |         importlib.metadata._text
import time:      6225 |      36422 |       importlib.metadata._adapters
import time:      1746 |       1746 |         email.feedparser
import time:       933 |       2678 |       email.parser
import time:     13674 |     122375 |     streamlit.version
import time:        81 |         81 |         _contextvars
import time:       594 |        675 |       contextvars
import time:       706 |        706 |         streamlit.proto
import time:       509 |        509 |           google
